chr	arm	band	ISCN.top	ISCN.bot	bases.top	bases.bot	stain	cM.top	cM.bot	n.markers	p.markers
1	p	36.33	-	-	1002	2301002	gneg	-	-	-	-
1	p	36.32	-	-	2301002	5301002	gpos	-	-	-	-
1	p	36.31	-	-	5301002	7101002	gneg	-	-	-	-
1	p	36.23	-	-	7101002	9101002	gpos	-	-	-	-
1	p	36.22	-	-	9101002	12501002	gneg	-	-	-	-
1	p	36.21	-	-	12501002	15901002	gpos	-	-	-	-
1	p	36.13	-	-	15901002	20101002	gneg	-	-	-	-
1	p	36.12	-	-	20101002	23601002	gpos	-	-	-	-
1	p	36.11	-	-	23601002	27601002	gneg	-	-	-	-
1	p	35.3	-	-	27601002	29901002	gpos	-	-	-	-
1	p	35.2	-	-	29901002	32301002	gneg	-	-	-	-
1	p	35.1	-	-	32301002	34301002	gpos	-	-	-	-
1	p	34.3	-	-	34301002	39601002	gneg	-	-	-	-
1	p	34.2	-	-	39601002	43701002	gpos	-	-	-	-
1	p	34.1	-	-	43701002	46301002	gneg	-	-	-	-
1	p	33	-	-	46301002	50201002	gpos	-	-	-	-
1	p	32.3	-	-	50201002	55601002	gneg	-	-	-	-
1	p	32.2	-	-	55601002	58501002	gpos	-	-	-	-
1	p	32.1	-	-	58501002	60801002	gneg	-	-	-	-
1	p	31.3	-	-	60801002	68501002	gpos	-	-	-	-
1	p	31.2	-	-	68501002	69301002	gneg	-	-	-	-
1	p	31.1	-	-	69301002	84401002	gpos	-	-	-	-
1	p	22.3	-	-	84401002	87901002	gneg	-	-	-	-
1	p	22.2	-	-	87901002	91501002	gpos	-	-	-	-
1	p	22.1	-	-	91501002	94301002	gneg	-	-	-	-
1	p	21.3	-	-	94301002	99301002	gpos	-	-	-	-
1	p	21.2	-	-	99301002	101801002	gneg	-	-	-	-
1	p	21.1	-	-	101801002	106701002	gpos	-	-	-	-
1	p	13.3	-	-	106701002	111201002	gneg	-	-	-	-
1	p	13.2	-	-	111201002	115501002	gpos	-	-	-	-
1	p	13.1	-	-	115501002	117201002	gneg	-	-	-	-
1	p	12	-	-	117201002	120401002	gpos	-	-	-	-
1	p	11.2	-	-	120401002	121701002	gneg	-	-	-	-
1	p	11.1	-	-	121701002	123401002	acen	-	-	-	-
1	q	11	-	-	123401002	125101002	acen	-	-	-	-
1	q	12	-	-	125101002	143201002	gvar	-	-	-	-
1	q	21.1	-	-	143201002	147501002	gneg	-	-	-	-
1	q	21.2	-	-	147501002	150601002	gpos	-	-	-	-
1	q	21.3	-	-	150601002	155101002	gneg	-	-	-	-
1	q	22	-	-	155101002	156601002	gpos	-	-	-	-
1	q	23.1	-	-	156601002	159101002	gneg	-	-	-	-
1	q	23.2	-	-	159101002	160501002	gpos	-	-	-	-
1	q	23.3	-	-	160501002	165501002	gneg	-	-	-	-
1	q	24.1	-	-	165501002	167201002	gpos	-	-	-	-
1	q	24.2	-	-	167201002	170901002	gneg	-	-	-	-
1	q	24.3	-	-	170901002	173001002	gpos	-	-	-	-
1	q	25.1	-	-	173001002	176101002	gneg	-	-	-	-
1	q	25.2	-	-	176101002	180301002	gpos	-	-	-	-
1	q	25.3	-	-	180301002	185801002	gneg	-	-	-	-
1	q	31.1	-	-	185801002	190801002	gpos	-	-	-	-
1	q	31.2	-	-	190801002	193801002	gneg	-	-	-	-
1	q	31.3	-	-	193801002	198701002	gpos	-	-	-	-
1	q	32.1	-	-	198701002	207101002	gneg	-	-	-	-
1	q	32.2	-	-	207101002	211301002	gpos	-	-	-	-
1	q	32.3	-	-	211301002	214401002	gneg	-	-	-	-
1	q	41	-	-	214401002	223901002	gpos	-	-	-	-
1	q	42.11	-	-	223901002	224401002	gneg	-	-	-	-
1	q	42.12	-	-	224401002	226801002	gpos	-	-	-	-
1	q	42.13	-	-	226801002	230501002	gneg	-	-	-	-
1	q	42.2	-	-	230501002	234601002	gpos	-	-	-	-
1	q	42.3	-	-	234601002	236401002	gneg	-	-	-	-
1	q	43	-	-	236401002	243501002	gpos	-	-	-	-
1	q	44	-	-	243501002	248957424	gneg	-	-	-	-
2	p	25.3	-	-	1002	4401002	gneg	-	-	-	-
2	p	25.2	-	-	4401002	6901002	gpos	-	-	-	-
2	p	25.1	-	-	6901002	12001002	gneg	-	-	-	-
2	p	24.3	-	-	12001002	16501002	gpos	-	-	-	-
2	p	24.2	-	-	16501002	19001002	gneg	-	-	-	-
2	p	24.1	-	-	19001002	23801002	gpos	-	-	-	-
2	p	23.3	-	-	23801002	27701002	gneg	-	-	-	-
2	p	23.2	-	-	27701002	29801002	gpos	-	-	-	-
2	p	23.1	-	-	29801002	31801002	gneg	-	-	-	-
2	p	22.3	-	-	31801002	36301002	gpos	-	-	-	-
2	p	22.2	-	-	36301002	38301002	gneg	-	-	-	-
2	p	22.1	-	-	38301002	41501002	gpos	-	-	-	-
2	p	21	-	-	41501002	47501002	gneg	-	-	-	-
2	p	16.3	-	-	47501002	52601002	gpos	-	-	-	-
2	p	16.2	-	-	52601002	54701002	gneg	-	-	-	-
2	p	16.1	-	-	54701002	61001002	gpos	-	-	-	-
2	p	15	-	-	61001002	63901002	gneg	-	-	-	-
2	p	14	-	-	63901002	68401002	gpos	-	-	-	-
2	p	13.3	-	-	68401002	71301002	gneg	-	-	-	-
2	p	13.2	-	-	71301002	73301002	gpos	-	-	-	-
2	p	13.1	-	-	73301002	74801002	gneg	-	-	-	-
2	p	12	-	-	74801002	83101002	gpos	-	-	-	-
2	p	11.2	-	-	83101002	91801002	gneg	-	-	-	-
2	p	11.1	-	-	91801002	93901002	acen	-	-	-	-
2	q	11.1	-	-	93901002	96001002	acen	-	-	-	-
2	q	11.2	-	-	96001002	102101002	gneg	-	-	-	-
2	q	12.1	-	-	102101002	105301002	gpos	-	-	-	-
2	q	12.2	-	-	105301002	106701002	gneg	-	-	-	-
2	q	12.3	-	-	106701002	108701002	gpos	-	-	-	-
2	q	13	-	-	108701002	112201002	gneg	-	-	-	-
2	q	14.1	-	-	112201002	118101002	gpos	-	-	-	-
